Preprocessed Text,Tagged Ngrams
use a 2 phillips screwdriver to remove the four screw .,"2 phillips screwdriver/TOOL, remove/ACTIVITY, four screw/ITEM, "
remove the rubber gasket from the rain tray .,"remove/ACTIVITY, rubber gasket/ITEM, rain tray/ITEM, "
lift the tray upwards and away from the vehicle .,"lift the tray/ACTIVITY, upwards/LOCATION, away from the vehicle/LOCATION, "
use a flathead screwdriver to remove the cap from the windshield wiper .,"flathead screwdriver/TOOL, remove/ACTIVITY, cap/ITEM, windshield wiper/ITEM, "
use a socket wrench to release the passenger-side windshield wiper locking nut .,"socket wrench/TOOL, release/ACTIVITY, passenger-side windshield wiper locking nut/ITEM, "
gently lift up the passenger-side windshield wiper .,"gently lift up/ACTIVITY, passenger-side windshield wiper/ITEM, "
remove the driver-side windshield wiper in the same fashion .,"remove/ACTIVITY, driver-side windshield wiper/ITEM, "
lift up the plastic cover .,"lift up/ACTIVITY, plastic cover/ITEM, "
use an offset phillips screwdriver to remove a screw in the back of the automatic control unit cover .,"offset phillips screwdriver/TOOL, remove/ACTIVITY, screw/ITEM, back/LOCATION, automatic control unit cover/ITEM, "
"in a pinch , you can make this tool with a phillips driver bit and end wrench .","phillips driver bit/TOOL, end wrench/TOOL, "
use a 2 phillips screwdriver to remove the front two screw .,"2 phillips screwdriver/TOOL, remove/ACTIVITY, front two screw/ITEM, "
gently unplug and lift out the automatic transmission control unit .,"unplug/ACTIVITY, lift out/ACTIVITY, automatic transmission control unit/ITEM, "
remove the plastic phillips screw towards the front of the door panel .,"remove/ACTIVITY, plastic phillips screw/ITEM, front of the door panel/LOCATION, "
"this screw is part of a two-piece securing mechanism . do not apply force directly onto the screw head , because it will continue to slip into the plastic clip .","screw/ITEM, two-piece securing mechanism/ITEM, do not apply force/OBSERVATION, directly onto the screw head/OBSERVATION, slip into the plastic clip/OBSERVATION, "
use a flathead screwdriver to remove the plastic clip that hold the screw .,"flathead screwdriver/TOOL, remove/ACTIVITY, plastic clip/ITEM, hold/OBSERVATION, screw/ITEM, "
unscrew the phillips screw in the bottom of the door panel cup .,"unscrew/ACTIVITY, phillips screw/ITEM, bottom of the door panel cup/LOCATION, "
lift the cup out of the the door panel .,"lift/ACTIVITY, cup/ITEM, door panel/ITEM, "
insert a very thin flathead screwdriver blade into the small gap towards the rear of the car on the plastic screw cover near the door handle .,"insert/ACTIVITY, very thin flathead screwdriver blade/TOOL, small gap/LOCATION, rear of the car/LOCATION, plastic screw cover/ITEM, door handle/ITEM, "
unscrew the phillips screw underneath the screw cover .,"unscrew/ACTIVITY, phillips screw/ITEM, screw cover/ITEM, "
remove the plastic cover at the base of the c-pillar by pulling it directly away from the window .,"remove the plastic cover/ACTIVITY, base of the c-pillar/LOCATION, pulling/ACTIVITY, directly away from the window/LOCATION, "
"the cover is held in place by a metal clip , so some force will be required to free it .","cover/ITEM, held in place/OBSERVATION, metal clip/MATERIAL, force/ACTIVITY, free/ACTIVITY, "
"in addition to the metal clip , two small tab at the bottom of the cover keep it in place . gently lift the corner of the door panel to remove the tab from their respective hole in the door .","metal clip/ITEM, small tab/ITEM, bottom of the cover/LOCATION, gently lift/ACTIVITY, corner of the door panel/LOCATION, remove/ACTIVITY, tab/ITEM, respective hole in the door/LOCATION, "
"using firm pressure , pull the door panel away from the door . start at the top right , and work down the side , across the bottom , and up the opposite side .","using firm pressure/ACTIVITY, pull/ACTIVITY, door panel/ITEM, away from the door/LOCATION, start at the top right/LOCATION, work down the side/ACTIVITY, across the bottom/LOCATION, up the opposite side/LOCATION, "
multiple clip hold the door panel in place . the door panel will jerk a each clip is freed from it position .,"multiple clip/ITEM, hold/ACTIVITY, door panel/ITEM, jerk/OBSERVATION, clip/ITEM, freed/OBSERVATION, position/LOCATION, "
"pull the bottom of the door panel away from the door , and lift the entire panel off the door .","pull/ACTIVITY, bottom of the door panel/ITEM, away from the door/LOCATION, lift/ACTIVITY, entire panel/ITEM, off the door/LOCATION, "
"do not try to completely remove the door panel yet , a it is still attached by a number of electrical connector .","remove/ACTIVITY, door panel/ITEM, electrical connector/ITEM, "
push down on the small tab and pull the connector directly away from it socket to disconnect the power lock switch .,"push down/ACTIVITY, small tab/ITEM, pull/ACTIVITY, connector/ITEM, away/LOCATION, socket/LOCATION, disconnect/ACTIVITY, power lock switch/ITEM, "
use the same method described above to remove the connector for the tweeter .,"remove/ACTIVITY, connector/ITEM, tweeter/ITEM, "
press the tab on the bottom of the larger green connector to disconnect the side-view mirror control .,"press/ACTIVITY, tab/ITEM, bottom/LOCATION, larger green connector/ITEM, disconnect/ACTIVITY, side-view mirror control/ITEM, "
disconnect the power window connector .,"disconnect/ACTIVITY, power window connector/ITEM, "
you may now remove the entire door panel .,"remove/ACTIVITY, entire door panel/ITEM, "
use compressed air to clear any debris from the area around the ignition coil on top of the engine .,"compressed air/TOOL, clear/ACTIVITY, debris/OBSERVATION, area around the ignition coil/LOCATION, top of the engine/LOCATION, "
remove the ignition coil electrical connector by first depressing the plastic tab on top of the connector .,"remove/ACTIVITY, ignition coil electrical connector/ITEM, depressing/ACTIVITY, plastic tab/ITEM, "
